Date,Details,Note,Debit/Credit,Amount,Balance
2025-04-01,NEFT/SALARY/INFOSYS BPM LTD/MAR25,MARCH SALARY CARRY,Credit,198500,398500
2025-04-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,370100
2025-04-05,UPI/DR/POLICYBAZAAR/LIC PREMIUM,LIC JEEVAN ANAND,Debit,12500,357600
2025-04-07,UPI/DR/BOOKMYSHOW/MOVIE TICKETS,,Debit,920,356680
2025-04-08,NEFT/RENT/PRIYA SHARMA LANDLORD/APR,HSR LAYOUT RENT,Debit,22000,334680
2025-04-10,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY TCS,Debit,155000,179680
2025-04-12,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,4299,175381
2025-04-14,UPI/DR/HDFC ERGO/CAR INSURANCE,CAR INS PREMIUM,Debit,18200,157181
2025-04-16,UPI/DR/SWIGGY/FOOD ORDER,,Debit,540,156641
2025-04-17,NEFT/CR/AXIS BANK/FD INTEREST Q1,FD INT Q1 2025,Credit,8750,165391
2025-04-20,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,160391
2025-04-22,UPI/DR/DISNEY PLUS HOTSTAR/SUB,,Debit,299,160092
2025-04-25,UPI/DR/BIG BASKET/GROCERIES,,Debit,3800,156292
2025-04-28,UPI/CR/REFUND/AMAZON,,Credit,540,156832
2025-04-30,UPI/DR/MYNTRA/CLOTHES,,Debit,2200,154632
2025-05-02,NEFT/SALARY/INFOSYS BPM LTD/APR25,APRIL SALARY,Credit,198500,353132
2025-05-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,324732
2025-05-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,319732
2025-05-08,NEFT/RENT/PRIYA SHARMA LANDLORD/MAY,HSR LAYOUT RENT,Debit,22000,297732
2025-05-10,UPI/DR/ZERODHA BROKING/EQUITY BUY,BUY INFY,Debit,68000,229732
2025-05-12,UPI/DR/TATA 1MG/MEDICINE,,Debit,1850,227882
2025-05-14,UPI/DR/NETFLIX/SUBSCRIPTION,,Debit,649,227233
2025-05-16,UPI/DR/IRCTC/TRAIN TICKET,BANGALORE DELHI,Debit,2850,224383
2025-05-20,UPI/CR/WAZIRX/CRYPTO SELL BTC,BITCOIN SALE,Credit,45000,269383
2025-05-22,UPI/DR/FLIPKART/ELECTRONICS,,Debit,8999,260384
2025-05-25,UPI/DR/PAYTM/ELECTRICITY BILL,,Debit,2400,257984
2025-05-28,UPI/DR/ZOMATO/RESTAURANT,,Debit,780,257204
2025-05-30,UPI/DR/APOLLO PHARMACY/MEDICINE,,Debit,960,256244
2025-06-02,NEFT/SALARY/INFOSYS BPM LTD/MAY25,MAY SALARY,Credit,198500,454744
2025-06-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,426344
2025-06-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,421344
2025-06-08,NEFT/RENT/PRIYA SHARMA LANDLORD/JUN,HSR LAYOUT RENT,Debit,22000,399344
2025-06-10,UPI/DR/WAZIRX/CRYPTO BUY ETH,ETHEREUM PURCHASE,Debit,60000,339344
2025-06-12,UPI/DR/CROMA/LAPTOP,DELL LAPTOP,Debit,65000,274344
2025-06-15,NEFT/CR/UPWORK GLOBAL INC/USD REMITTANCE,FREELANCE PROJECT,Credit,110000,384344
2025-06-17,UPI/DR/DECATHLON/SPORTS EQUIPMENT,,Debit,6500,377844
2025-06-20,UPI/DR/ZERODHA BROKING/EQUITY SELL,SELL RELIANCE,Credit,210000,587844
2025-06-22,UPI/DR/CIPLAMED/MEDICAL,,Debit,1200,586644
2025-06-25,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,5400,581244
2025-06-28,UPI/DR/SWIGGY/FOOD ORDER,,Debit,650,580594
2025-06-30,UPI/DR/PAYTM/WATER BILL,,Debit,800,579794
2025-07-02,NEFT/SALARY/INFOSYS BPM LTD/JUN25,JUNE SALARY,Credit,198500,778294
2025-07-03,UPI/DR/HDFC BANK/EMI HOUSING LOAN,HOME LOAN EMI,Debit,28400,749894
2025-07-05,UPI/DR/GROWW/SIP HDFC FLEXI CAP,MONTHLY SIP,Debit,5000,744894
2025-07-07,UPI/DR/STAR HEALTH/HEALTH INSURANCE,MEDICLAIM PREMIUM,Debit,24000,720894
2025-07-08,NEFT/RENT/PRIYA SHARMA LANDLORD/JUL,HSR LAYOUT RENT,Debit,22000,698894
2025-07-10,UPI/CR/WAZIRX/CRYPTO SELL ETH,ETHEREUM SALE,Credit,88000,786894
2025-07-12,UPI/DR/ICICI PRUDENTIAL/ELSS SIP,TAX SAVER ELSS,Debit,8000,778894
2025-07-14,UPI/DR/UBER/CAB,,Debit,450,778444
2025-07-16,NEFT/CR/DEUTSCHE BANK CLIENT/USD,CONSULTING FEES,Credit,75000,853444
2025-07-18,UPI/DR/AMAZON/AMZN MKTP IN,,Debit,2800,850644
